text,merek,jenis_produk,kandungan,manfaat,topik,alasan_topik_kosong,topik_label
men biore jerawat bacterior sabun wajah doublescrub,men biore,sabun wajah,,"jerawat bacterior, doublescrub",0.0,,Skincare Anti-Aging dan Brightening
kanebo clarifying powder wash,kanebo,wash,,clarifying powder,3.0,,Hidrasi dan Perawatan Kulit Sensitif
topicare soothing cream,topicare,cream,,soothing,3.0,,Hidrasi dan Perawatan Kulit Sensitif
debiuryn phyto light active micellar water remaja anak,debiuryn phyto,micellar water,,"light active, remaja anak",4.0,,Brightening dengan Bahan Aktif
selection round facial cotton,selection round,facial cotton,,,3.0,,Hidrasi dan Perawatan Kulit Sensitif
cheering mist uv spf50 pa,cheering,mist,,"uv, spf50 pa",0.0,,Skincare Anti-Aging dan Brightening
cleanser,,cleanser,,,1.0,,Pembersih Wajah dan Perawatan Jerawat
tumitku,,tumitku,,,,entitas tidak dikenali dictionary LDA,
bifesta foaming cleanser wajah busa untuk mengurangi minyak berlebih,bifesta,"foaming, cleanser wajah busa",,untuk mengurangi minyak berlebih,4.0,,Brightening dengan Bahan Aktif
dermaten cream,dermaten,cream,,,1.0,,Pembersih Wajah dan Perawatan Jerawat
beautetox alpha serum pencerah poreless arbutin botox like peptides melembabkan mencerahkan mengencangkan kulit glowing,beautetox,alpha serum,"arbutin, peptides","pencerah poreless, botox like, melembabkan mencerahkan mengencangkan kulit glowing",0.0,,Skincare Anti-Aging dan Brightening
xepagel cream,xepagel,cream,,,1.0,,Pembersih Wajah dan Perawatan Jerawat
kanebo lotion,kanebo,lotion,,,3.0,,Hidrasi dan Perawatan Kulit Sensitif
somethinc biospicule renewal serum,somethinc,biospicule renewal serum,,,2.0,,"Pelembap, Retinol, dan Perlindungan Kulit"
natasha facial wash oily,natasha,facial wash,,oily,4.0,,Brightening dengan Bahan Aktif
somethinc calm down skinpair moisturizer pelembap wajah untuk kulit sensitif kemerahan normal meredakan memperkuat skin barrier,somethinc,moisturizer pelembap wajah,,"calm down skinpair, untuk kulit sensitif kemerahan normal meredakan memperkuat skin barrier",2.0,,"Pelembap, Retinol, dan Perlindungan Kulit"
somethinc glow aha bha pha clarifying treatment toner,somethinc,toner,aha bha pha,"glow, clarifying treatment",2.0,,"Pelembap, Retinol, dan Perlindungan Kulit"
papulex moussant cleansing gel dermatix jerawat spot care,"papulex moussant, dermatix",cleansing gel,,jerawat spot care,1.0,,Pembersih Wajah dan Perawatan Jerawat
oneskin facial wash charcoal membersihkan wajah pria,oneskin,facial wash,charcoal,membersihkan wajah pria,4.0,,Brightening dengan Bahan Aktif
glycore cream,glycore,cream,,,1.0,,Pembersih Wajah dan Perawatan Jerawat
dermatix ultra gel,dermatix,ultra gel,,,1.0,,Pembersih Wajah dan Perawatan Jerawat
viva milk cleanser bengkoang,viva,cleanser,"milk, bengkoang",,1.0,,Pembersih Wajah dan Perawatan Jerawat
moisturizing skin toner calendula natasha,natasha,moisturizing skin toner,calendula,,4.0,,Brightening dengan Bahan Aktif
hydrobiotic serum natasha,natasha,serum,hydrobiotic,,4.0,,Brightening dengan Bahan Aktif
phyto white booster up daily protection cream,phyto,cream,,white booster up daily protection,2.0,,"Pelembap, Retinol, dan Perlindungan Kulit"
astaxanthin kapsul,astaxanthin,kapsul,,,4.0,,Brightening dengan Bahan Aktif
asthin kapsul,asthin,kapsul,,,,entitas tidak dikenali dictionary LDA,
dermatix wound care,dermatix,,,wound care,,entitas tidak dikenali dictionary LDA,
men biore cleanser komedo,men biore,cleanser komedo,,,2.0,,"Pelembap, Retinol, dan Perlindungan Kulit"
biore uv aqua rich sunscreen essence spf50 pa,biore,"sunscreen, essence",aqua,"uv, rich, spf50 pa",0.0,,Skincare Anti-Aging dan Brightening
somethinc glow pyhtocell serum untuk kulit berkilau mencerahkan brightening anti - aging mencegah penuaan dini,somethinc,serum,,"glow pyhtocell, untuk kulit berkilau mencerahkan brightening anti - aging mencegah penuaan dini",0.0,,Skincare Anti-Aging dan Brightening
lysca serum pores,lysca,serum,,pores,0.0,,Skincare Anti-Aging dan Brightening
lysca lightening pencerah wajah glowing putih,lysca,pencerah wajah,,"lightening, glowing putih",3.0,,Hidrasi dan Perawatan Kulit Sensitif
biore skin caring mild smooth facial foam,biore,facial foam,,skin caring mild smooth,3.0,,Hidrasi dan Perawatan Kulit Sensitif
fair lovely multivitamin facial foam,fair lovely,facial foam,multivitamin,,3.0,,Hidrasi dan Perawatan Kulit Sensitif
somethinc calm down skinpair barrier serum penenang kulit sensitif iritasi meredakan kemerahan memperkuat skin menghaluskan tampilan peptide panthenol,somethinc,serum,peptide panthenol,"calm down skinpair barrier, penenang kulit sensitif iritasi meredakan kemerahan memperkuat skin menghaluskan tampilan",2.0,,"Pelembap, Retinol, dan Perlindungan Kulit"
face up cleansing balm cleanser wajah make remover olive oil mengecilkan pori mencerahkan kulit,face up,cleanser wajah,,"cleansing balm, make remover olive oil mengecilkan pori mencerahkan kulit",0.0,,Skincare Anti-Aging dan Brightening
cetaphil gentle skin cleanser,cetaphil,cleanser,,gentle skin,1.0,,Pembersih Wajah dan Perawatan Jerawat
somethinc hyaluronic essence toner yang menghidrasi kulit melembabkan kering non comedogenic cocok untuk sensitif,somethinc,essence toner,hyaluronic,yang menghidrasi kulit melembabkan kering non comedogenic cocok untuk sensitif,3.0,,Hidrasi dan Perawatan Kulit Sensitif
somethinc low ph jelly cleanser,somethinc,jelly cleanser,,low ph,0.0,,Skincare Anti-Aging dan Brightening
somethinc eyelash serum mascara,somethinc,eyelash serum mascara,,,4.0,,Brightening dengan Bahan Aktif
kojie san serum,kojie san,serum,,,4.0,,Brightening dengan Bahan Aktif
ichtyol cito salep,ichtyol cito,salep,,,,entitas tidak dikenali dictionary LDA,
derma xp acneclear facial wash,derma xp acneclear,facial wash,,,3.0,,Hidrasi dan Perawatan Kulit Sensitif
debiuryn genery cleanser wajah kulit normal kering,debiuryn,genery cleanser wajah,,kulit normal kering,3.0,,Hidrasi dan Perawatan Kulit Sensitif
ceradan hydra cream,ceradan,cream,,hydra,2.0,,"Pelembap, Retinol, dan Perlindungan Kulit"
debiuryn bright hydrating essence toner,debiuryn,essence toner,,bright hydrating,3.0,,Hidrasi dan Perawatan Kulit Sensitif
men biore bright sabun wajah,men biore,sabun wajah,,bright,4.0,,Brightening dengan Bahan Aktif
men biore deep pore clean sabun wajah doublescrub,men biore,sabun wajah,,"deep pore clean, doublescrub",3.0,,Hidrasi dan Perawatan Kulit Sensitif
biore uv aqua sunscreen watery gel spf50 pa,biore,sunscreen watery gel,aqua,"uv, spf50 pa",0.0,,Skincare Anti-Aging dan Brightening
teen milk cleanser natasha,natasha,cleanser,milk,teen,1.0,,Pembersih Wajah dan Perawatan Jerawat
men biore cool oil clear bioreuv sunscreen essence,men biore,bioreuv sunscreen essence,,cool oil clear,0.0,,Skincare Anti-Aging dan Brightening
biore skin caring mild smooth facial foam,biore,facial foam,,skin caring mild smooth,3.0,,Hidrasi dan Perawatan Kulit Sensitif
lysca lightening,lysca,,,lightening,3.0,,Hidrasi dan Perawatan Kulit Sensitif
somethinc low ph gentle jelly cleanser face wash,somethinc,gentle jelly cleanser face wash,,low ph,0.0,,Skincare Anti-Aging dan Brightening
wardah moisturizer gel,wardah,moisturizer gel,,,1.0,,Pembersih Wajah dan Perawatan Jerawat
viva pelembab uv green tea,viva,pelembab,green tea,uv,4.0,,Brightening dengan Bahan Aktif
cica chicory calming moisturizer,chicory,moisturizer,cica,calming,2.0,,"Pelembap, Retinol, dan Perlindungan Kulit"
jf sulfur anti jerawat cleanser,jf,cleanser,sulfur,anti jerawat,2.0,,"Pelembap, Retinol, dan Perlindungan Kulit"
somethinc hyaluronic9 moisturizer gel pelembap yang menghidrasi cocok untuk kulit sensitif non comedogenic,somethinc,"moisturizer, gel",hyaluronic9,pelembap yang menghidrasi cocok untuk kulit sensitif non comedogenic,2.0,,"Pelembap, Retinol, dan Perlindungan Kulit"
double lightening kering,,,,double lightening kering,3.0,,Hidrasi dan Perawatan Kulit Sensitif
labore sensitive barrier revive cream,labore,cream,,"sensitive, barrier revive",0.0,,Skincare Anti-Aging dan Brightening
kanebo skin protector sunscreen,kanebo,sunscreen,,skin protector,2.0,,"Pelembap, Retinol, dan Perlindungan Kulit"
bifesta foaming whip deep clear sabun cleanser wajah clay charcoal,bifesta,"foaming whip, clear sabun cleanser wajah",clay charcoal,deep,3.0,,Hidrasi dan Perawatan Kulit Sensitif
kanebo scrubbing wash,kanebo,wash,,scrubbing,0.0,,Skincare Anti-Aging dan Brightening
eucalie eye lash brow serum bulu mata alis castor peptide ingredients vitamin,eucalie,eye lash brow serum bulu mata alis,"castor peptide, vitamin",ingredients,1.0,,Pembersih Wajah dan Perawatan Jerawat
men biore cool oil clear sabun wajah doublescrub,men biore,sabun wajah,,"cool oil clear, doublescrub",0.0,,Skincare Anti-Aging dan Brightening
earth love life rose body wash lotion sabun wangi mandi cair melembabkan jerawat punggung kulit sensitif mencerahkan spf,earth love life,body wash lotion sabun wangi mandi cair,rose,melembabkan jerawat punggung kulit sensitif mencerahkan spf,0.0,,Skincare Anti-Aging dan Brightening
oneskin membersihkan memberi perlindungan maksimal sunscreen facial wash,oneskin,sunscreen facial wash,,membersihkan memberi perlindungan maksimal,2.0,,"Pelembap, Retinol, dan Perlindungan Kulit"
natasha moisturizer sunscreen day cream,natasha,"moisturizer sunscreen, cream",,day,0.0,,Skincare Anti-Aging dan Brightening
somethinc hyaluronic9 serum memperkuat skin barrier agar tampil lebih plumpy halus segar hidrasi kulit kering menghidrasi jam,somethinc,serum,hyaluronic9,"memperkuat skin barrier agar tampil lebih plumpy halus segar hidrasi kulit kering menghidrasi, jam",2.0,,"Pelembap, Retinol, dan Perlindungan Kulit"
ciara liquid serum stretchmarks ibu hamil,ciara,liquid serum,,stretchmarks ibu hamil,4.0,,Brightening dengan Bahan Aktif
men biore jerawat sabun wajah,men biore,sabun wajah,,jerawat,1.0,,Pembersih Wajah dan Perawatan Jerawat
somethinc ceramic skin saviour moisturizer gel,somethinc,moisturizer gel,ceramic,skin saviour,2.0,,"Pelembap, Retinol, dan Perlindungan Kulit"
indoganic beauty retinyl serum youth renewal face antiaging menyamarkan kerutan wajah,indoganic beauty,serum,retinyl,"youth renewal face antiaging menyamarkan kerutan, wajah",0.0,,Skincare Anti-Aging dan Brightening
debiuryn ageless skin energy serum retinol bha anti - aging,debiuryn,serum,retinol bha,"ageless skin energy, anti - aging",2.0,,"Pelembap, Retinol, dan Perlindungan Kulit"
beautetox intense white booster up tranexamic daily protection cream alpha arbutin serum,beautetox,"cream, serum","tranexamic, alpha arbutin","intense white booster up, daily protection",0.0,,Skincare Anti-Aging dan Brightening
kanebo,kanebo,,,,2.0,,"Pelembap, Retinol, dan Perlindungan Kulit"
kanebo serum,kanebo,serum,,,2.0,,"Pelembap, Retinol, dan Perlindungan Kulit"
topicare cleanser,topicare,cleanser,,,3.0,,Hidrasi dan Perawatan Kulit Sensitif
kanebo,kanebo,,,,2.0,,"Pelembap, Retinol, dan Perlindungan Kulit"
kanebo lotion,kanebo,lotion,,,3.0,,Hidrasi dan Perawatan Kulit Sensitif
kojie san normal dry,kojie san,,,normal dry,4.0,,Brightening dengan Bahan Aktif
kojie san lightening,kojie san,,,lightening,3.0,,Hidrasi dan Perawatan Kulit Sensitif
ceradan gentle cleanser,ceradan,gentle cleanser,,,2.0,,"Pelembap, Retinol, dan Perlindungan Kulit"
tje fuk white night cream active malam mencerahkan wajah kusam samarkan flek hitam noda bekas jerawat membandel perawatan skin barrier moisturizer pelembab mengencangkan kulit,tje fuk,"cream, moisturizer pelembab",,"white night, active malam mencerahkan wajah kusam samarkan flek hitam noda bekas jerawat membandel perawatan skin barrier, mengencangkan kulit",2.0,,"Pelembap, Retinol, dan Perlindungan Kulit"
verile jerawat back spray,verile,,,jerawat back spray,1.0,,Pembersih Wajah dan Perawatan Jerawat
asepso sulphur sabun batang,asepso,sabun batang,sulphur,,3.0,,Hidrasi dan Perawatan Kulit Sensitif
kojie san skin lightening soap hydromoist,kojie san,soap,,"skin lightening, hydromoist",2.0,,"Pelembap, Retinol, dan Perlindungan Kulit"
debiuryn sense hydra oxy moisturizer hydrating night serum,debiuryn,"moisturizer, serum",,"sense hydra oxy, hydrating night",2.0,,"Pelembap, Retinol, dan Perlindungan Kulit"
organic brightening serum tranexamic peptide postbiotic eucalie perawatan wajah untuk mencerahkan kulit kusam menyamarkan flek hitam kerutan bekas jerawat anti - aging kadungan niacinamide,organic,serum,"tranexamic peptide postbiotic eucalie, niacinamide","brightening, perawatan wajah untuk mencerahkan kulit kusam menyamarkan flek hitam kerutan bekas jerawat anti - aging kadungan",0.0,,Skincare Anti-Aging dan Brightening
men biore jerawat bright care sabun wajah,men biore,sabun wajah,,jerawat bright care,4.0,,Brightening dengan Bahan Aktif
biore pore pack black,biore,pore pack black,,,0.0,,Skincare Anti-Aging dan Brightening
oneskin kinclong membersihkan menyamarkan kerutan facial wash moisturizer pelembab scrub wajah perawatan cleansing kering,oneskin,"facial wash moisturizer, pelembab",,"kinclong membersihkan menyamarkan kerutan, scrub wajah perawatan cleansing kering",1.0,,Pembersih Wajah dan Perawatan Jerawat
viva milk cleanser bengkuang,viva,cleanser,"milk, bengkuang",,1.0,,Pembersih Wajah dan Perawatan Jerawat
natasha micro oil caviar serum mencerahkan melembabkan kulit wajah,natasha micro oil caviar,serum,,mencerahkan melembabkan kulit wajah,4.0,,Brightening dengan Bahan Aktif
parasol face sunblock spf cream perawatan wajah,parasol,"face sunblock, cream",,"spf, perawatan wajah",2.0,,"Pelembap, Retinol, dan Perlindungan Kulit"
somethinc hyaluronic9 serum kulit kering,somethinc,serum,hyaluronic9,kulit kering,2.0,,"Pelembap, Retinol, dan Perlindungan Kulit"
shower body lotion wash sabun mandi cair wangi melembabkan jerawat punggung kulit sensitif spf alergi mencerahkan tara basro,tara basro,shower body lotion wash sabun mandi cair,,wangi melembabkan jerawat punggung kulit sensitif spf alergi mencerahkan,0.0,,Skincare Anti-Aging dan Brightening
somethinc skinpair cream,somethinc,cream,,skinpair,2.0,,"Pelembap, Retinol, dan Perlindungan Kulit"
ceradan skinbarrier cream,ceradan,cream,,skinbarrier,2.0,,"Pelembap, Retinol, dan Perlindungan Kulit"
lysca facial wash sabun wajah white,lysca,facial wash sabun wajah,,white,0.0,,Skincare Anti-Aging dan Brightening
men biore oil balance uv aqua rich,men biore,,balance,"oil, uv aqua rich",0.0,,Skincare Anti-Aging dan Brightening
tje fuk washing cream face wash scrub cleanser wajah sabun cuci,tje fuk,washing cream face wash scrub cleanser wajah sabun cuci,,,1.0,,Pembersih Wajah dan Perawatan Jerawat
bifesta micellar cleansing water cleanser melembabkan kulit,bifesta,micellar cleansing water cleanser,,melembabkan kulit,4.0,,Brightening dengan Bahan Aktif
hanasui serum vitamin c,hanasui,serum,vitamin c,,4.0,,Brightening dengan Bahan Aktif
oneskin facial wash perawatan kulit wajah,oneskin,facial wash,,perawatan kulit wajah,2.0,,"Pelembap, Retinol, dan Perlindungan Kulit"
pond white beauty facial foam,pond,facial foam,,white beauty,3.0,,Hidrasi dan Perawatan Kulit Sensitif
kanebo,kanebo,,,,2.0,,"Pelembap, Retinol, dan Perlindungan Kulit"
eucalie organic glow bright,eucalie,,,organic glow bright,4.0,,Brightening dengan Bahan Aktif
somethinc moisturizer serum niacinamide hyaluronic retinol,somethinc,"moisturizer, serum",niacinamide hyaluronic retinol,,2.0,,"Pelembap, Retinol, dan Perlindungan Kulit"
face up mist toner niacinamide hyaluronic acid mencerahkan melembabkan mengglowingkan serum booster untuk semua jenis kulit,face up,"mist toner, serum booster",niacinamide hyaluronic acid,"mencerahkan melembabkan mengglowingkan, untuk semua jenis kulit",4.0,,Brightening dengan Bahan Aktif
selection kapas,selection,kapas,,,0.0,,Skincare Anti-Aging dan Brightening
papulex moussant cleansing gel oil cream,papulex moussant,cleansing gel oil cream,,,4.0,,Brightening dengan Bahan Aktif
tje fuk moisturizer cream hyaluronic pelembab hidrasi,tje fuk,moisturizer cream,hyaluronic,pelembab hidrasi,3.0,,Hidrasi dan Perawatan Kulit Sensitif
soft u derm intensive hydro protect,soft u derm,,,intensive hydro protect,2.0,,"Pelembap, Retinol, dan Perlindungan Kulit"
natasha serum,natasha,serum,,,4.0,,Brightening dengan Bahan Aktif
acnes creamy wash,acnes creamy wash,,,,0.0,,Skincare Anti-Aging dan Brightening
kojie san sunscreen spf50 pa,kojie san,sunscreen,,spf50 pa,0.0,,Skincare Anti-Aging dan Brightening
peeling retinol natasha,natasha,peeling retinol,,,1.0,,Pembersih Wajah dan Perawatan Jerawat
moko sunflower seed oil ceramide essence serum hydrating soothing skin,moko sunflower seed oil,essence serum,ceramide,hydrating soothing skin,0.0,,Skincare Anti-Aging dan Brightening
kojie san kojic acid soap,kojie san,soap,kojic acid,,4.0,,Brightening dengan Bahan Aktif
debiuryn young skin,debiuryn,,,young skin,3.0,,Hidrasi dan Perawatan Kulit Sensitif
somethinc retinol,somethinc,,retinol,,2.0,,"Pelembap, Retinol, dan Perlindungan Kulit"
white neng cream,neng,cream,,white,1.0,,Pembersih Wajah dan Perawatan Jerawat
debiuryn white and softening night cream,debiuryn,cream,,white and softening night,1.0,,Pembersih Wajah dan Perawatan Jerawat
somethinc glow pyhtocell serum,somethinc,serum,,glow pyhtocell,0.0,,Skincare Anti-Aging dan Brightening
somethinc gentle bright niacinamide alpha arbutin serum pencerah wajah untuk semua jenis kulit memperkuat skin barrier meratakan warna memudarkan noda gelap pori sensitif,somethinc,serum pencerah wajah,niacinamide alpha arbutin,"gentle bright, untuk semua jenis kulit memperkuat skin barrier meratakan warna memudarkan noda gelap pori sensitif",2.0,,"Pelembap, Retinol, dan Perlindungan Kulit"
men biore oil balance sabun wajah non scrub,men biore,sabun wajah,oil balance,non scrub,0.0,,Skincare Anti-Aging dan Brightening
lysca ceramide skin barrier moisturizer,lysca,moisturizer,ceramide,skin barrier,2.0,,"Pelembap, Retinol, dan Perlindungan Kulit"
natasha serum,natasha,serum,,,4.0,,Brightening dengan Bahan Aktif
glikoderm clarifying facial cleanser poly hydroxy acid,glikoderm clarifying,facial cleanser,poly hydroxy acid,,3.0,,Hidrasi dan Perawatan Kulit Sensitif
kanebo radiant skin refiner,kanebo,,,radiant skin refiner,2.0,,"Pelembap, Retinol, dan Perlindungan Kulit"
oneskin membersihkan mencerahkan memberi perlindungan maksimal sunscreen facial wash serum,oneskin,sunscreen facial wash serum,,membersihkan mencerahkan memberi perlindungan maksimal,0.0,,Skincare Anti-Aging dan Brightening
renew eye cream natasha,natasha,renew eye cream,,,1.0,,Pembersih Wajah dan Perawatan Jerawat
nelsons tea tree cream,nelsons,cream,tea tree,,4.0,,Brightening dengan Bahan Aktif
beautetox alpha serum pencerah arbutin botox like peptides melembabkan mencerahkan mengencangkan kulit,beautetox,alpha serum,"arbutin, peptides","pencerah, botox like, melembabkan mencerahkan mengencangkan kulit",0.0,,Skincare Anti-Aging dan Brightening
somethinc propolis honey sleeping mask,somethinc,sleeping mask,"propolis, honey",,2.0,,"Pelembap, Retinol, dan Perlindungan Kulit"
somethinc ceramic skin saviour moisturizer gel,somethinc,moisturizer gel,ceramic,skin saviour,2.0,,"Pelembap, Retinol, dan Perlindungan Kulit"
debiuryn facial foam micellar cleansing gel face wash,debiuryn,"facial foam, micellar cleansing gel face wash",,,4.0,,Brightening dengan Bahan Aktif
indoganic beauty zincscreen sun shield spf 32 pa sunscreen protection tabir surya pelindung sinar uv lightweight perawatan wajah facial sunblock protector,indoganic beauty,"zincscreen, sunscreen, tabir surya, facial sunblock",,"sun shield spf 32 pa, protection, pelindung sinar uv lightweight, perawatan wajah, protector",0.0,,Skincare Anti-Aging dan Brightening
somethinc calm down skinpair bubble cleanser sabun cuci wajah untuk kulit sensitif iritasi meredakan kemerahan memperkuat skin barrier facial wash semua tipe,somethinc,"bubble cleanser sabun cuci wajah, facial wash",,"calm down skinpair, untuk kulit sensitif iritasi meredakan kemerahan memperkuat skin barrier, semua tipe",2.0,,"Pelembap, Retinol, dan Perlindungan Kulit"
emla cream,emla,cream,,,1.0,,Pembersih Wajah dan Perawatan Jerawat
somethinc serum,somethinc,serum,,,2.0,,"Pelembap, Retinol, dan Perlindungan Kulit"
men biore bright oil clear bioreuv sunscreen,men biore,bioreuv sunscreen,,bright oil clear,0.0,,Skincare Anti-Aging dan Brightening
lysca tranexamic white moisturizer,lysca,moisturizer,tranexamic,white,0.0,,Skincare Anti-Aging dan Brightening
sunscreen gel cream natasha,natasha,sunscreen gel cream,,,4.0,,Brightening dengan Bahan Aktif
beautetox mencerahkan kulit kusam bekas jerawat kerutan,beautetox,,,mencerahkan kulit kusam bekas jerawat kerutan,1.0,,Pembersih Wajah dan Perawatan Jerawat
camellia deep cleansing oil calendula gentle gel cleanser facial kering wajah membersihkan,camellia,gentle gel cleanser,calendula,"deep cleansing oil, facial kering wajah membersihkan",4.0,,Brightening dengan Bahan Aktif
papulex moussant cleansing gel dermatix jerawat,"papulex moussant, dermatix",cleansing gel,,jerawat,1.0,,Pembersih Wajah dan Perawatan Jerawat
biore uv aqua rich protect mist sunscreen spf 50 pa,biore,mist sunscreen,aqua,"uv, rich protect, spf 50 pa",0.0,,Skincare Anti-Aging dan Brightening
oneskin facial wash charcoal membersihkan wajah pria,oneskin,facial wash,charcoal,membersihkan wajah pria,4.0,,Brightening dengan Bahan Aktif
ceradan moisturizer wash,ceradan,moisturizer wash,,,2.0,,"Pelembap, Retinol, dan Perlindungan Kulit"
emina bright stuff moisturizing cream,emina,"stuff, cream",,"bright, moisturizing",4.0,,Brightening dengan Bahan Aktif
ketomed cream,ketomed,cream,,,1.0,,Pembersih Wajah dan Perawatan Jerawat
viva cleansing milk,viva,,milk,cleansing,1.0,,Pembersih Wajah dan Perawatan Jerawat
somethinc kulit bersih terlindungi sinar uv sunscreen gel low ph jelly cleanser,somethinc,"sunscreen gel, jelly cleanser",,"kulit bersih terlindungi sinar uv, low ph",2.0,,"Pelembap, Retinol, dan Perlindungan Kulit"
labore sensitive mild cleanser,labore,mild cleanser,,sensitive,0.0,,Skincare Anti-Aging dan Brightening
somethinc acnedot treatment toner,somethinc,toner,,acnedot treatment,2.0,,"Pelembap, Retinol, dan Perlindungan Kulit"
beautetox daily protection cream serum hydracalming and brightening mencerahkan kulit wajah,beautetox,cream serum,,"daily protection, hydracalming and brightening, mencerahkan kulit wajah",4.0,,Brightening dengan Bahan Aktif
retinal glow natasha,natasha,retinal,,glow,4.0,,Brightening dengan Bahan Aktif
somethinc calm down pha 3 soothing everyday toner untuk kulit sensitif kemerahan normal meredakan memperkuat skin barrier cocok menyamarkan bekas jerawat,somethinc,toner,pha 3,"calm down, soothing everyday, untuk kulit sensitif kemerahan normal meredakan memperkuat skin barrier cocok menyamarkan bekas jerawat",2.0,,"Pelembap, Retinol, dan Perlindungan Kulit"
somethinc calm down moisturizer lactic glycolic peeling serum,somethinc,"moisturizer, serum",lactic glycolic,"calm down, peeling",4.0,,Brightening dengan Bahan Aktif
somethinc acnedot treatment moisturizer gel,somethinc,moisturizer gel,,acnedot treatment,2.0,,"Pelembap, Retinol, dan Perlindungan Kulit"
tje fuk washing cream cleanser wajah facial scrub pria wanita mencerahkan kusam membantu samarkan flek hitam noda darkspot bersihkan kotoran exfoliating sabun cuci melembutkan menghaluskan kulit,tje fuk,"washing cream, cleanser wajah facial scrub, sabun cuci",,"pria wanita mencerahkan kusam membantu samarkan flek hitam noda darkspot bersihkan kotoran, exfoliating, melembutkan menghaluskan kulit",4.0,,Brightening dengan Bahan Aktif
teen balancing skin toner natasha,natasha,toner,,teen balancing skin,4.0,,Brightening dengan Bahan Aktif
men biore bright oil clear uv aqua rich,men biore,,,bright oil clear uv aqua rich,0.0,,Skincare Anti-Aging dan Brightening
lysca hydrating toner brightening skin melembabkan wajah,lysca,toner,,"hydrating, brightening skin melembabkan wajah",4.0,,Brightening dengan Bahan Aktif
men biore jerawat bright care uv aqua rich,men biore,,,jerawat bright care uv aqua rich,0.0,,Skincare Anti-Aging dan Brightening
reticor cream,reticor,cream,,,1.0,,Pembersih Wajah dan Perawatan Jerawat
face up hyaluronic serum anti - aging mencerahkan mengencangkan kulit wajah vitamin e alga shitake,face up,serum,"hyaluronic, vitamin e, alga shitake",anti - aging mencerahkan mengencangkan kulit wajah,0.0,,Skincare Anti-Aging dan Brightening
kojie san,kojie san,,,,,entitas tidak dikenali dictionary LDA,
viva face tonic green tea,viva,face tonic,green tea,,4.0,,Brightening dengan Bahan Aktif
wardah lightening micellar gentle wash,wardah,micellar gentle wash,,lightening,3.0,,Hidrasi dan Perawatan Kulit Sensitif
debiuryn sense soothing hyaluronic facial wash,debiuryn,facial wash,hyaluronic,sense soothing,3.0,,Hidrasi dan Perawatan Kulit Sensitif
face up exfoliating gel scrub anti - aging angkat sel kulit mati mencerahkan menghaluskan wajah vitamin c niacinamide,face up,exfoliating gel scrub,vitamin c niacinamide,anti - aging angkat sel kulit mati mencerahkan menghaluskan wajah,0.0,,Skincare Anti-Aging dan Brightening
propolis untuk xanthelasma penghilang gumpalan lemak kelopak mata plak kuning dekat salep cream santelasma bintitan bintit benjolan kalazion milia bintik,,salep cream santelasma,propolis,"untuk xanthelasma penghilang gumpalan lemak kelopak mata plak kuning dekat, bintitan bintit benjolan kalazion milia bintik",2.0,,"Pelembap, Retinol, dan Perlindungan Kulit"
cotton cloud sunscreen,,cotton cloud sunscreen,,,2.0,,"Pelembap, Retinol, dan Perlindungan Kulit"
earth love life relax balancing fragrance and body care solusi stress relief jerawat punggung edp forest therapy bamboo parfum unisex wangi fresh tahan lama,earth love life,"relax balancing fragrance and body care, edp forest therapy bamboo parfum",,"solusi stress relief jerawat punggung, unisex wangi fresh tahan lama",1.0,,Pembersih Wajah dan Perawatan Jerawat
derma xp acneclear biome ceramide moisturizing lotion,derma xp acneclear biome,moisturizing lotion,ceramide,,3.0,,Hidrasi dan Perawatan Kulit Sensitif
glikoderm anti - aging cream,glikoderm,cream,,anti - aging,0.0,,Skincare Anti-Aging dan Brightening
biore pore pack black cleanser komedo,biore,"pore pack black, cleanser",,komedo,2.0,,"Pelembap, Retinol, dan Perlindungan Kulit"
earth love life spanish lavender body wash lotion sabun wangi mandi cair melembabkan jerawat punggung kulit sensitif mencerahkan spf,earth love life,body wash lotion sabun wangi mandi cair,spanish lavender,melembabkan jerawat punggung kulit sensitif mencerahkan spf,0.0,,Skincare Anti-Aging dan Brightening
biore uv fresh bright sunscreen sun screen sunblock cream spf 50 pa samarkan noda hitam,biore,sunscreen sun screen sunblock cream,,"uv fresh bright, spf 50 pa samarkan noda hitam",0.0,,Skincare Anti-Aging dan Brightening
face wash happy skin eucalie sabun cleanser wajah untuk jerawat berminyak kering sensitif membersihkan lembut tanpa mengikis minyak alami kulit,happy skin eucalie,"face wash, sabun cleanser wajah",,untuk jerawat berminyak kering sensitif membersihkan lembut tanpa mengikis minyak alami kulit,1.0,,Pembersih Wajah dan Perawatan Jerawat
peg 12 microsilico emulsifier,peg 12 microsilico,emulsifier,,,,entitas tidak dikenali dictionary LDA,
topicare ceramide soothing cream,topicare,cream,ceramide,soothing,2.0,,"Pelembap, Retinol, dan Perlindungan Kulit"
neutrogena visible repair eye cream retinol mencegah mengurangi kerutan,neutrogena visible,cream,retinol,"repair eye, mencegah mengurangi kerutan",1.0,,Pembersih Wajah dan Perawatan Jerawat
emina bright stuff moisturizer,emina,stuff moisturizer,,bright,4.0,,Brightening dengan Bahan Aktif
kahf matte sunscreen stick spf 50 pa,kahf,matte sunscreen stick,,spf 50 pa,0.0,,Skincare Anti-Aging dan Brightening
