text,merek,jenis_produk,kandungan,manfaat,topik,topik_label
glad2glow dark spot moisturizer menghilangkan bekas jerawat brightening night cream day,glad2glow,"cream, moisturizer",,"dark spot, day, menghilangkan bekas jerawat brightening night",2,Pembersih Wajah dan Perawatan Jerawat
the temulawak day night cream,the,cream,temulawak,day night,3,"Pelembap, Retinol, dan Perlindungan Kulit"
scarlett white serum jerawat glowtening niaciamide retinol felicia scarlet cream toner day bright night age delay power booster,scarlett,"scarlet cream toner, serum",niaciamide retinol felicia,"day bright night age delay, jerawat glowtening, power booster, white",4,Hidrasi dan Perawatan Kulit Sensitif
stiker jerawat star hydrocolloid pimple patch,,"pimple patch, stiker",hydrocolloid,jerawat star,5,Brightening dengan Bahan Aktif
pomeglow glow up aha booster exfoliating toner face and body kulit sensitif,pomeglow,toner face and body,aha,"booster exfoliating, glow up, kulit sensitif",2,Pembersih Wajah dan Perawatan Jerawat
1 onlyou sunscreen uv defender protector spf50 pa face body white sunblock pelembab mencegah kerusakan kulit centella serum,1 onlyou,"serum, sunblock pelembab, sunscreen",centella,"mencegah kerusakan kulit, uv defender protector spf50 pa face body white",4,Hidrasi dan Perawatan Kulit Sensitif
bioaqua sheet mask brightening moisturizing essence face wajah kaya vitamin bunga buah,bioaqua,"essence, sheet mask","bunga buah, vitamin","brightening moisturizing, face wajah kaya",,
acnaway jerawat sun serum sunscreen spf 50 pa only skin membantu membersihkan pori mengontrol produksi sebum membunuh bakteri bha bsasm ceramide,acnaway,sun serum sunscreen,bha bsasm ceramide,"jerawat, spf 50 pa only skin membantu membersihkan pori mengontrol produksi sebum membunuh bakteri",2,Pembersih Wajah dan Perawatan Jerawat
pyunkang yul calming moisturizer toner,pyunkang yul,moisturizer toner,,calming,2,Pembersih Wajah dan Perawatan Jerawat
glad2glow centella salicylic acid jerawat serum wajah obat untuk merawat mencegah pertumbuhan acnes redness prevents breakout,glad2glow,serum wajah obat,"centella, salicylic acid","acnes redness prevents breakout, jerawat, untuk merawat mencegah pertumbuhan",3,"Pelembap, Retinol, dan Perlindungan Kulit"
npure sunscreen cica beat the sun hypoallergenic spf 50 pa kulit kering jerawat,npure,sunscreen,cica,beat the sun hypoallergenic spf 50 pa kulit kering jerawat,,
sadoer blackhead mask remover penghilang komedo activated carbon,sadoer,blackhead mask remover,activated carbon,penghilang komedo,,
cream flek htmh,htmh,cream flek,,,,
azarine jerawat spot serum obat totol,azarine,spot serum obat totol,,jerawat,4,Hidrasi dan Perawatan Kulit Sensitif
fyc yessica glowing sleeping mask goat milk lavender,fyc yessica,sleeping mask,"goat milk, lavender",glowing,4,Hidrasi dan Perawatan Kulit Sensitif
wardah uv shield sunscreen gel active protection serum sun stick aqua fresh essence airy smooth,wardah,"essence, serum sun stick, sunscreen gel",,"active protection, airy smooth, aqua fresh, uv shield",,
jerawat pimple patch stiker penghilang,,jerawat pimple patch stiker penghilang,,,4,Hidrasi dan Perawatan Kulit Sensitif
viva milk cleanser face tonic air mawar penyegar toner,viva,"milk cleanser face tonic, toner",air mawar,penyegar,,
collagen cream,,cream,collagen,,,
skin1004 madagascar centella toning toner,skin1004,toning toner,madagascar centella,,4,Hidrasi dan Perawatan Kulit Sensitif
the originote clarifying toner exfoliating hydrating melembabkan wajah aha bha pha,the originote,toner,aha bha pha,"clarifying, exfoliating hydrating melembabkan wajah",,
madame gie jelly mask gel wajah,madame gie,"gel wajah, jelly mask",,,,
bioaqua essence mask,bioaqua,essence mask,,,3,"Pelembap, Retinol, dan Perlindungan Kulit"
madame gie protect sun serum spf 30 pa sunscreen protection,madame gie,"sun serum, sunscreen",,"protect, protection, spf 30 pa",2,Pembersih Wajah dan Perawatan Jerawat
scarlett white serum brightening melembabkan mencerahkan kulit niacinamide,scarlett,serum,niacinamide,"brightening, melembabkan mencerahkan kulit, white",4,Hidrasi dan Perawatan Kulit Sensitif
green tea mask cleansing clay stick meidian cleanser komedo,meidian,"cleanser komedo, mask cleansing clay stick",green tea,,3,"Pelembap, Retinol, dan Perlindungan Kulit"
skintific ceramide low ph cleanser facial wash gentle sensitive skin sabun cuci wajah oil control,skintific,"cleanser facial wash, sabun cuci wajah",ceramide,"gentle sensitive skin, low ph, oil control",,
2 garnier men oil control anti blackheads brightening scrub facial cleanser,2 garnier men,scrub facial cleanser,,oil control anti blackheads brightening,,
kymm skin effortless sunscreen spf 50 cocok semua jenis kulit,kymm,sunscreen,,"skin effortless, spf 50 cocok semua jenis kulit",,
penghilang bekas luka hitam koreng kaki cacar gigitan nyamuk keloid,,,,"keloid, penghilang bekas luka hitam koreng kaki cacar gigitan nyamuk",1,Skincare Anti-Aging dan Brightening
wardah uv shield jerawat calming sunscreen serum spf 50 pa,wardah,sunscreen serum,,"spf 50 pa, uv shield jerawat calming",1,Skincare Anti-Aging dan Brightening
himalaya purifying mask,himalaya,mask,,purifying,,
day white cream ms glow,ms glow,cream,,day white,1,Skincare Anti-Aging dan Brightening
facetology triple care sunscreen hybrid tanpa parfum uva uvb tabir surya spf 40 wajah protection perlindungan dari paparan sinar matahari melindungi merawat kulit sunburn gosong,facetology,"sunscreen hybrid, tabir surya",,"spf 40 wajah protection perlindungan dari paparan sinar matahari melindungi merawat kulit sunburn gosong, tanpa parfum, triple care, uva uvb",1,Skincare Anti-Aging dan Brightening
skintific vitamin c brightening glow serum mencerahkan dark spot tumpas komedo anti - aging anti jerawat exfoliating angkat sel kulit mati white wajah centella ferulic acid,skintific,glow serum,"centella, ferulic acid, vitamin c","brightening, mencerahkan dark spot tumpas komedo anti - aging anti jerawat exfoliating angkat sel kulit mati white wajah",,
viva peeling serum glycolic acid aha salycilic bha gluconolactone pha,viva,peeling serum,glycolic acid aha salycilic bha gluconolactone pha,,,
lumiwhite deep cleansing face wash white,lumiwhite,deep cleansing face wash,,white,,
meco pearl cream,meco,cream,pearl,,4,Hidrasi dan Perawatan Kulit Sensitif
pond age miracle hexyl retinol niacinamide day cream mencerahkan kulit anti - aging,pond,"age, cream",hexyl retinol niacinamide,"anti - aging, day, mencerahkan kulit, miracle",,
lea gloria mask,lea gloria,mask,,,,
salep pelicin siang glowing spf 50 day cream,,"cream, salep pelicin",,siang glowing spf 50 day,,
mask wajah organik,,mask wajah,organik,,,
acnaway ultra thin jerawat patch penghilang salicylic acid tea tree centella asiatica,acnaway,ultra thin jerawat patch,salicylic acid tea tree centella asiatica,penghilang,,
ms glow toner jerawat fight,ms glow,toner,,jerawat fight,3,"Pelembap, Retinol, dan Perlindungan Kulit"
the originote moisturizer hyalucera ceratinol cica jerawat peeling astachiol ceratides bright serum eye toner sunscreen lip spot cream charcoal mask retinol mugwort clay stick,the originote,"bright serum eye toner, clay stick, mask, moisturizer, peeling, sunscreen lip spot cream","astachiol ceratides, charcoal, hyalucera ceratinol cica, retinol mugwort",jerawat,,
hanasui serum,hanasui,serum,,,3,"Pelembap, Retinol, dan Perlindungan Kulit"
skintific sunscreen ceramide serum stick spf50 pa sunblock untuk skin barrier protect rusak kulit berminyak jerawat sensitif sunblok gel wajah stik,skintific,"serum stick, sunblock, sunblok gel wajah stik, sunscreen",ceramide,"spf50 pa, untuk skin barrier protect rusak kulit berminyak jerawat sensitif",,
whitelab cera mug barrier moisturizing gel pelembap kulit wajah kering perbaiki skin siang malam hyaluronic ceramide,whitelab,cera mug barrier moisturizing gel pelembap,hyaluronic ceramide,kulit wajah kering perbaiki skin siang malam,5,Brightening dengan Bahan Aktif
npure facial wash cica anti jerawat foam sabun wajah berminyak,npure,"facial wash, foam sabun",cica,"anti jerawat, wajah berminyak",5,Brightening dengan Bahan Aktif
cosrx low ph morning cleanser sabun wajah untuk semua jenis kulit,cosrx,cleanser sabun wajah,,"low ph, morning, untuk semua jenis kulit",3,"Pelembap, Retinol, dan Perlindungan Kulit"
emina spf 30 pa sunscreen pelindung dari sinar matahari uv,emina,sunscreen,,"pelindung dari sinar matahari uv, spf 30 pa",,
acnaway mugwort gel mask anti pores wash mencerahkan wajah merawat memperbaiki skin barrier bakuchiol peptides,acnaway,gel mask,"bakuchiol peptides, mugwort","anti pores wash, mencerahkan wajah merawat memperbaiki skin barrier",5,Brightening dengan Bahan Aktif
cosrx low ph morning gel cleanser sabun wajah untuk semua jenis kulit,cosrx,gel cleanser sabun wajah,,"low ph, morning, untuk semua jenis kulit",,
jerawat pimple patch sticker tempel,,"jerawat pimple patch, sticker tempel",,,3,"Pelembap, Retinol, dan Perlindungan Kulit"
the originote ceramella sunscreen spf 50 pa,the originote,sunscreen,ceramella,spf 50 pa,3,"Pelembap, Retinol, dan Perlindungan Kulit"
skintific day light sunscreen mist spf 50 pa uv tone up sun shield white glowing barrier anti - aging brightening mencerahkan wajah melindungi kulit dari sinar uva uvb pearls ceramide centella,skintific,"sunscreen mist, tone up",pearls ceramide centella,"day light, spf 50 pa uv, sun shield white glowing barrier anti - aging brightening mencerahkan wajah melindungi kulit dari sinar uva uvb",3,"Pelembap, Retinol, dan Perlindungan Kulit"
bioaqua ceramide serum sunscreen spf 50 pa gel sunblock wajah sun protection waterproof uv,bioaqua,"gel sunblock wajah, serum sunscreen",ceramide,"spf 50 pa, sun protection, waterproof uv",2,Pembersih Wajah dan Perawatan Jerawat
whitelab brightening day cream night,whitelab,cream,,"brightening day, night",2,Pembersih Wajah dan Perawatan Jerawat
whitelab jerawat care facial wash sabun cuci wajah untuk kulit kontrol minyak berlebih anti bakteri mugwort tea tree bha,whitelab,facial wash sabun cuci wajah,mugwort tea tree bha,"jerawat care, untuk kulit kontrol minyak berlebih anti bakteri",2,Pembersih Wajah dan Perawatan Jerawat
viva white cream,viva,cream,,white,,
bioaqua sheet mask wajah,bioaqua,sheet mask wajah,,,1,Skincare Anti-Aging dan Brightening
skin aqua tone up uv essence moisturizer milk gel,skin aqua,"essence moisturizer, gel, tone up",milk,uv,2,Pembersih Wajah dan Perawatan Jerawat
rdl papaya brightening soap sabun cuci wajah pepaya white sunscreen,rdl papaya,"soap sabun cuci wajah, sunscreen",pepaya,"brightening, white",3,"Pelembap, Retinol, dan Perlindungan Kulit"
glad2glow propolis hyaluronic acid toner wajah barrier essence pelembab facial,glad2glow,"essence pelembab facial, toner wajah","hyaluronic acid, propolis",barrier,,
acnes creamy wash complete white face oil control sealing jell spot care uv,acnes,"creamy wash, jell",,"complete white face oil control sealing, spot care uv",5,Brightening dengan Bahan Aktif
poupeepou mask mugwort jerawat centella asiatica,poupeepou,mask,"centella asiatica, mugwort",jerawat,,
mask komedo gelatin,,mask komedo,gelatin,,1,Skincare Anti-Aging dan Brightening
facetology triplecare sunscreen,facetology,sunscreen,,triplecare,,
wardah gel moisturizer,wardah,gel moisturizer,,,,
viva sunscreen foundation uv filter,viva,sunscreen foundation,filter,uv,2,Pembersih Wajah dan Perawatan Jerawat
2 garnier men acno fight anti bacteris brightening foam,2 garnier men,foam,,"acno fight, anti bacteris brightening",5,Brightening dengan Bahan Aktif
emina bright moisturizing cream pelembab wajah mencerahkan,emina,cream,,"bright, moisturizing, pelembab wajah mencerahkan",,
2 garnier men turbo bright duo foam perawatan pria untuk wajah kusam,2 garnier men,duo foam,,"perawatan pria untuk wajah kusam, turbo bright",,
madame protect glow tinted sunscreen spf 50 pa multipurpose,madame,tinted sunscreen,,"glow, protect, spf 50 pa multipurpose",,
harlette oatmilk gentle facial wash sensitive dry combination irritated skin membersihkan mencerahkan,harlette,gentle facial wash,oatmilk,sensitive dry combination irritated skin membersihkan mencerahkan,3,"Pelembap, Retinol, dan Perlindungan Kulit"
the originote bha charcoal clay mask wajah exfoliating angkat sel kulit mati menghilangkan minyak berlebih,the originote,clay mask wajah,bha charcoal,exfoliating angkat sel kulit mati menghilangkan minyak berlebih,3,"Pelembap, Retinol, dan Perlindungan Kulit"
skintific lactic acid skin renewal exfoliating serum peeling wajah mencerahkan dark spot tumpas komedo anti - aging anti jerawat angkat sel kulit mati aha succinic,skintific,exfoliating serum peeling wajah,"aha succinic, lactic acid","mencerahkan dark spot tumpas komedo anti - aging anti jerawat angkat sel kulit mati, skin renewal",,
the originote extra brightening gluta b3 serum jelly booster moisturizer,the originote,"jelly booster moisturizer, serum",gluta b3,extra brightening,,
erha jerawat spot gel bha sulfur obat totol,erha,"jerawat spot gel, obat totol",bha sulfur,,4,Hidrasi dan Perawatan Kulit Sensitif
ginbi mask wajah sheet hydrating essence face brightening moisturizing anti - aging,ginbi,"essence face, mask wajah sheet",,"anti - aging, brightening moisturizing, hydrating",2,Pembersih Wajah dan Perawatan Jerawat
you acneplus spot care obat totol jerawat centella,you,acneplus spot care obat totol jerawat,centella,,,
pyunkang yul essence toner,pyunkang yul,essence toner,,,,
skin1004 madagascar centella suncream plus renewal,skin1004,suncream,madagascar centella,plus renewal,5,Brightening dengan Bahan Aktif
gmeelan cream white wajah moisturizer niacinamide gluta lazy pelembab,gmeelan,"cream, moisturizer, pelembab",niacinamide gluta lazy,white wajah,,
veze mask wajah natural sheet,veze,mask wajah,natural sheet,,,
sabun pepaya papaya orange,,sabun,pepaya papaya orange,,,
toner white badan aleya saffron glowing penghilang bekas luka,aleya,toner,saffron,"glowing, penghilang bekas luka, white badan",,
cream,,cream,,,1,Skincare Anti-Aging dan Brightening
facetology triple care sunscreen spf 40 pa,facetology,sunscreen,,"spf 40 pa, triple care",3,"Pelembap, Retinol, dan Perlindungan Kulit"
madame gie protect sunscreen spf 30 pa sunblock,madame gie,"sunblock, sunscreen",,"protect, spf 30 pa",,
htmh,htmh,,,,,
elvicto bright up moisturizer pelembap wajah pria perawatan untuk mencerahkan mengurangi noda hitam niacinamide glutathione alpha arbutin,elvicto,moisturizer pelembap,niacinamide glutathione alpha arbutin,"bright up, wajah pria perawatan untuk mencerahkan mengurangi noda hitam",2,Pembersih Wajah dan Perawatan Jerawat
skintific clay stick mask wajah komedo sleeping jerawat mugwort peel off pengangkat penghilang glycolic acid probiotic complex black charcoal,skintific,"clay stick mask, peel off pengangkat","glycolic acid probiotic complex black charcoal, mugwort","jerawat, penghilang, sleeping, wajah komedo",5,Brightening dengan Bahan Aktif
cosrx aha bha clarifying treatment toner exfoliating ringan untuk semua jenis kulit,cosrx,toner,aha bha,"clarifying treatment, exfoliating ringan untuk semua jenis kulit",,
stiker jerawat hydrocolloid lets glow group,lets glow group,stiker jerawat,hydrocolloid,,,
cream htmh 0 jerawat flek white,htmh 0,cream,,jerawat flek white,2,Pembersih Wajah dan Perawatan Jerawat
skintific mugwort jerawat clay stick,skintific,clay stick,mugwort,jerawat,5,Brightening dengan Bahan Aktif
npure brightening exfoliating pad licorice light up kapas wajah mencerahkan glowing,npure,"exfoliating pad, kapas wajah",licorice,"brightening, light up, mencerahkan glowing",1,Skincare Anti-Aging dan Brightening
facetology triple care exfoliquid toner exfoliating aha bha pha lha pga,facetology,exfoliquid toner,aha bha pha lha pga,"exfoliating, triple care",1,Skincare Anti-Aging dan Brightening
svmy sun block spf 50 sunblock sunscreen tahan lama lameila,"lameila, svmy","sun block, sunblock sunscreen",,"spf 50, tahan lama",,
cream malam glow flek,,cream,,malam glow flek,4,Hidrasi dan Perawatan Kulit Sensitif
bioaqua sheet mask hydrating essence face brightening anti jerawat,bioaqua,"essence face, sheet mask",,"brightening anti jerawat, hydrating",3,"Pelembap, Retinol, dan Perlindungan Kulit"
whitelab glow booster serum vitamin antioksidan tinggi untuk kulit mencerahkan glowing ferulic acid hyaluronic,whitelab,serum,"ferulic acid hyaluronic, vitamin","antioksidan tinggi untuk kulit mencerahkan glowing, glow booster",4,Hidrasi dan Perawatan Kulit Sensitif
sadoer sheet mask perawatan wajah,sadoer,sheet mask,,perawatan wajah,2,Pembersih Wajah dan Perawatan Jerawat
rorec hchana natural mask sheet,rorec hchana,mask sheet,,natural,,
jerawat pimple patch stiker penghilang,,jerawat pimple patch stiker,,penghilang,3,"Pelembap, Retinol, dan Perlindungan Kulit"
scarlett white jerawat serum wajah untuk penghilang perawatan ampuh atasi hingga bekasnya salicylic acid tanpa bikin kulit iritasi,scarlett,serum wajah,salicylic acid,"tanpa bikin kulit iritasi, untuk penghilang perawatan ampuh atasi hingga bekasnya, white jerawat",,
serum ms glow luminous jerawat whitecell dna lifting peeling,ms glow,serum,dna,"lifting peeling, luminous jerawat whitecell",3,"Pelembap, Retinol, dan Perlindungan Kulit"
facetology triplecare sunscreen,facetology,sunscreen,,triplecare,,
salep pelicin sunscreen serum sci beauty,sci beauty,"salep pelicin, sunscreen serum",,,4,Hidrasi dan Perawatan Kulit Sensitif
serum avoskin your skin bae niacinamide mencerahkan kulit,avoskin your skin bae,serum,niacinamide,mencerahkan kulit,,
jerawat patch tempelan hydrocolloid,,jerawat patch tempelan,hydrocolloid,,,
pigeon teens facial foam moisturizer face powder,pigeon teens,facial foam moisturizer face powder,,,,
komedo hidung allphv blackhead remover mask penghilang ampuh pengecil pori,allphv,"komedo hidung, remover mask",,"blackhead, penghilang ampuh pengecil pori",3,"Pelembap, Retinol, dan Perlindungan Kulit"
beauty of joseon sunscreen rice probiotics,beauty of joseon,sunscreen,rice probiotics,,3,"Pelembap, Retinol, dan Perlindungan Kulit"
cream siang malam citra,citra,cream,,siang malam,2,Pembersih Wajah dan Perawatan Jerawat
viva white cream,viva,cream,,white,,
wardah dark spot brightening serum ekstrak edelweiss mencerahkan menyamarkan flek hitam untuk semua jenis kulit,wardah,serum,ekstrak edelweiss,"dark spot brightening, mencerahkan menyamarkan flek hitam untuk semua jenis kulit",4,Hidrasi dan Perawatan Kulit Sensitif
gl2 cream glowing pencerah wajah,gl2,cream,,"glowing, pencerah wajah",4,Hidrasi dan Perawatan Kulit Sensitif
pond bright niasorcinol cream kekuatan mencerahkan,pond,cream,niasorcinol,"bright, kekuatan mencerahkan",5,Brightening dengan Bahan Aktif
hanasui collagen sunscreen spf 30,hanasui,sunscreen,collagen,spf 30,5,Brightening dengan Bahan Aktif
wardah brightening day cream siang ekstrak edelweiss niacinamide mencerahkan menyamarkan flek hitam untuk semua jenis kulit spf 35 pa,wardah,day cream,ekstrak edelweiss niacinamide,"brightening, mencerahkan menyamarkan flek hitam untuk semua jenis kulit spf 35 pa, siang",,
glowsophy glow and bright serum,glowsophy,serum,,glow and bright,,
hey delima mask clay heygurl brightening and glowing booster,"hey, heygurl",mask clay,delima,brightening and glowing booster,,
toner white kelupas,,toner,,white kelupas,,
hymey serum face,hymey,serum face,,,2,Pembersih Wajah dan Perawatan Jerawat
star viva milk cleanser face tonic,star viva,"cleanser, face tonic",milk,,2,Pembersih Wajah dan Perawatan Jerawat
cetaphil cleanser propylene glycol sabun wajah untuk,cetaphil,"cleanser, sabun wajah",propylene glycol,untuk,1,Skincare Anti-Aging dan Brightening
yessica tea tree strawberry anti pores jerawat clay stick mask,yessica,clay stick mask,tea tree strawberry,anti pores jerawat,3,"Pelembap, Retinol, dan Perlindungan Kulit"
glad2glow centella allantoin soothing moisturizer gel repair skin barrier oil control hydrating cream pelembab wajah memperbaiki primer menghidrasi kulit,glad2glow,"cream pelembab wajah, moisturizer gel",centella allantoin,"memperbaiki primer menghidrasi kulit, repair skin barrier oil control hydrating, soothing",3,"Pelembap, Retinol, dan Perlindungan Kulit"
ms glow night cream malam,ms glow,cream,,"malam, night",2,Pembersih Wajah dan Perawatan Jerawat
skintific aqua light daily sunscreen perlindungan uv yang efektif anti uva uvb,skintific,sunscreen,aqua,"anti uva uvb, light daily, perlindungan uv yang efektif",5,Brightening dengan Bahan Aktif
collagen brightening soap bright glow face sabun white wajah,,"sabun, soap",collagen,"bright glow face, brightening, white wajah",,
nature republic real mask sheet,nature republic real,mask sheet,,,2,Pembersih Wajah dan Perawatan Jerawat
you amino facial wash anti jerawat hydrating brightening oil control sabun cuci wajah,you,"facial wash, sabun cuci wajah",amino,anti jerawat hydrating brightening oil control,4,Hidrasi dan Perawatan Kulit Sensitif
pond bright niasorcinol facial foam,pond,facial foam,niasorcinol,bright,3,"Pelembap, Retinol, dan Perlindungan Kulit"
skin1004 madagascar centella hyalu cica serum spf50 pa,skin1004,serum,madagascar centella hyalu cica,spf50 pa,1,Skincare Anti-Aging dan Brightening
skin aqua sunscreen moisturizer milk gel white mild tone up uv,skin aqua,"gel, moisturizer, sunscreen, tone up",milk,"uv, white mild",,
swana serum pore,swana,serum,,pore,,
serum camille,camille,serum,,,3,"Pelembap, Retinol, dan Perlindungan Kulit"
kaleido jerawat patch,kaleido,patch,,jerawat,4,Hidrasi dan Perawatan Kulit Sensitif
wardah lightening face serum toner facial micellar gentle wash,wardah,"facial micellar gentle wash, serum toner",,lightening face,2,Pembersih Wajah dan Perawatan Jerawat
viva jerawat lotion,viva,lotion,,jerawat,,
mewwa serum brightening glow up glowing mencerahkan melembabkan wajah,mewwa,serum,,"brightening glow up, glowing mencerahkan melembabkan wajah",4,Hidrasi dan Perawatan Kulit Sensitif
bioaqua sheet mask hydrating essence face brightening moisturizing anti - aging wajah collagen vitamin c squalene,bioaqua,"essence face, sheet mask",collagen vitamin c squalene,"anti - aging wajah, brightening moisturizing, hydrating",3,"Pelembap, Retinol, dan Perlindungan Kulit"
skin1004 madagascar centella hyalu cica sun stick,skin1004,sun stick,madagascar centella hyalu cica,,2,Pembersih Wajah dan Perawatan Jerawat
glad2glow centella moisturizer gel repair skin barrier blueberry ceramide pomegranate niacinamide brightening dark spot control hydrating cream pelembab wajah,glad2glow,"cream pelembab wajah, moisturizer gel","blueberry, centella, ceramide pomegranate niacinamide","brightening, control hydrating, dark spot, repair skin barrier",4,Hidrasi dan Perawatan Kulit Sensitif
bioaqua mask sheet vegetables fruits plant essence face naturgo jerawat hydrating brightening,"bioaqua, naturgo","essence face, mask sheet","fruits, plant, vegetables",jerawat hydrating brightening,3,"Pelembap, Retinol, dan Perlindungan Kulit"
day cream ms glow white,ms glow,cream,,"day, white",3,"Pelembap, Retinol, dan Perlindungan Kulit"
,,,,,,
the originote charcoal clay mask mugwort stick,the originote,"clay mask, stick","charcoal, mugwort",,,
facemist,,facemist,,,4,Hidrasi dan Perawatan Kulit Sensitif
mask wajah lea gloria,lea gloria,mask wajah,,,4,Hidrasi dan Perawatan Kulit Sensitif
skintific pore clay stick mask wajah komedo,skintific,clay stick mask,,"pore, wajah komedo",,
serum glowing brightening chromabright skin youth revolution,,serum,chromabright,"brightening, glowing, skin youth revolution",1,Skincare Anti-Aging dan Brightening
rcandy compressed mask permen kompres,rcandy,"compressed mask, permen kompres",,,3,"Pelembap, Retinol, dan Perlindungan Kulit"
louisse choice caviar moisturizer dna salmon white brightening skin,louisse choice,moisturizer,"caviar, dna salmon",white brightening skin,,
azarine sunscreen hydrasoothe gel spf45 hydramax serum spf body guard moisturizer spf50,azarine,"gel, moisturizer, serum, sunscreen",,"body guard, hydrasoothe, spf, spf45 hydramax, spf50",,
pinkroulette mask organic facemask mencerahkan menghilangkan bekas jerawat ampuh,pinkroulette,mask organic facemask,,mencerahkan menghilangkan bekas jerawat ampuh,,
mi kaca make up mini travelling,mi,kaca make up,,mini travelling,,
maybelline long lasting waterproof lipstick lipcream transferproof,maybelline,lipstick lipcream,,"long lasting waterproof, transferproof",,
kaca make up mini travelling,,kaca make up,,mini travelling,,
one kaca make up mini travelling,one,kaca make up,,mini travelling,4,Hidrasi dan Perawatan Kulit Sensitif
kaca make up travelling,make up,kaca,,travelling,,
bioaqua mask sheet wajah memutihkan anti jerawat hyaluronic acid hydrating essence face,bioaqua,"essence face, mask sheet",hyaluronic acid,"hydrating, wajah memutihkan anti jerawat",2,Pembersih Wajah dan Perawatan Jerawat
implora lip cream matte lipcream,implora,lip cream matte lipcream,,,,
dazzle me setting spray protecting hydrating mist flawless lightening tahan 24 jam,dazzle me,"mist, setting spray",,"flawless lightening, protecting hydrating, tahan 24 jam",,
kuku palsu perawatan kecantikan kaki manicure lem,,"kuku palsu, manicure lem",,perawatan kecantikan kaki,3,"Pelembap, Retinol, dan Perlindungan Kulit"
lem kuku tangan palsu,,lem kuku tangan palsu,,,4,Hidrasi dan Perawatan Kulit Sensitif
tawas spray beorganik crystal deodorant deodoran,beorganik,"crystal deodorant, deodoran, tawas spray",,,,
hanasui mattedorable lip cream matte lipcream lipstick cair,hanasui,"lip cream matte, lipcream lipstick cair",,mattedorable,3,"Pelembap, Retinol, dan Perlindungan Kulit"
kaca make up travelling,,kaca make up,,travelling,2,Pembersih Wajah dan Perawatan Jerawat
kudan kutek peel off kuteks muslimah untuk sholat,kudan,kutek peel off,,kuteks muslimah untuk sholat,4,Hidrasi dan Perawatan Kulit Sensitif
glad2glow pomegranate niacinamide brightening moisturizer pelembab wajah white glowing gel day night cream,glad2glow,"cream, gel, moisturizer pelembab wajah","niacinamide, pomegranate","brightening, day night, white glowing",,
hanasui mattedorable lip cream tintdorable lipstick bibir blush on and cheek,hanasui,"bibir blush on and cheek, lip cream tintdorable, lipstick",,mattedorable,4,Hidrasi dan Perawatan Kulit Sensitif
sabun pyramid nalpamara rempah kunyit bidara alami atasi jerawat kojic pyary,"kojic pyary, pyramid nalpamara",sabun,"bidara, rempah kunyit",alami atasi jerawat,5,Brightening dengan Bahan Aktif
implora lip cream matte lipstick lipstik,implora,lip cream matte,lipstick lipstik,,,
sabun batang harmony fruity refreshing soap,harmony,"sabun batang, soap",fruity,refreshing,3,"Pelembap, Retinol, dan Perlindungan Kulit"
kaca make up mini travelling,,kaca make up,,mini travelling,,
marina hand body lotion uv white serum,marina,"hand body lotion, serum",,uv white,,
musk lilian ashley parfum wanita,musk lilian ashley,parfum wanita,,,,
implora eye brow pencil pensil serutan sikat alis,implora,eye brow pencil pensil serutan sikat alis,,,,
lem kuku palsu gel,,lem kuku palsu gel,,,,
cermin saku travelling,,cermin,,saku travelling,,
tas kosmetik pouch,,tas kosmetik pouch,,,1,Skincare Anti-Aging dan Brightening
implora eyebrow,implora,eyebrow,,,,
white aha body serum moisturizing badan bleaching,,body serum,aha,"moisturizing badan bleaching, white",4,Hidrasi dan Perawatan Kulit Sensitif
kutek peel off muslimah dikupas untuk sholat,,kutek peel off,,muslimah dikupas untuk sholat,,
wardah lightening face serum toner facial micellar gentle wash,wardah,"facial micellar gentle wash, serum toner",,lightening face,,
selection kapas kecantikan tebal cotton bud korek kuping make up remover micellar water toner,selection,"cotton bud korek kuping, kapas kecantikan tebal, micellar water toner",,make up remover,,
implora pensil alis soft eyebrow pencil,implora,"pensil alis, soft eyebrow pencil",,,,
sisir kutu logam serit ketombe,,sisir kutu logam serit,,ketombe,,
garnier hair color,garnier,hair color,,,,
alat kikir kuku untuk manicure pedicure pengkilat,,alat kikir kuku,,"pengkilat, untuk manicure pedicure",,
gogoland kuas mask makeup brushes,gogoland,kuas mask makeup brushes,,,2,Pembersih Wajah dan Perawatan Jerawat
madame gie plump balm lip gloss moisturizing long lasting,madame gie,balm lip gloss,,"moisturizing long lasting, plump",,
the originote hyalurose micellar water cleanser wajah make up remover cleansing melembabkan hyaluronic acid,the originote,micellar water cleanser wajah,"hyaluronic acid, hyalurose",make up remover cleansing melembabkan,,
jm parfum pria wanita tahan lama,jm,parfum,,pria wanita tahan lama,,
kaca make up mini travelling,,kaca make up,,mini travelling,,
dove sabun mandi cair deeply nourishing,dove,sabun mandi cair,,deeply nourishing,5,Brightening dengan Bahan Aktif
geamoore parfum roll inspired perfume pewangi badan wewangian,geamoore,parfum roll inspired perfume pewangi badan,,wewangian,,
parfum le labo scandal parfume pria wanita tahan lama,le labo scandal,"parfum, parfume",,pria wanita tahan lama,,
tissue bulat mini travel sekali mask wajah kompres tisu bentuk permen travelling compressed paper,,"mask wajah kompres, paper, tissue bulat mini travel, tisu",,"bentuk permen travelling compressed, sekali",,
cetakan alis mini eyebrow wanita,,cetakan alis mini eyebrow wanita,,,,
pensil alis lyra black brown eyebrow liner,lyra,"black brown eyebrow liner, pensil alis",,,,
